GNL_CD,GEN_SHORT,GEN_LONG
482501BIJ,2-deoxy-2-fluoro-D-glucose,2-deoxy-2-fluoro-D-glucose (18F) injection 0.037GBq(1mCi)
354200BIS,2-ketoglutaric acid monopotassium salt calcium chloride + histidine + histidine hydrochloride + magnesium chloride + manitol + potassium chloride + sodium chloride + tryptophan,2-ketoglutaric acid monopotassium salt 0.921g(0.1842mg/mL) + calcium chloride 11mg(2.2ug/mL) + histidine 139.6445g(27.9289mg/mL) + histidine hydrochloride 18.8665g(3.7733mg/mL) + magnesium chloride 4.066g(0.8132mg/mL) + manitol 27.3255g(5.4651mg/mL) + potassium chloride 3.355g(0.671mg/mL) + sodium chloride 4.383g(0.8766mg/mL) + tryptophan 2.0425g(0.4085mg/mL)
472702BIJ,3-iodobenzylguanidine,3-iodobenzylguanidine(131I) 40MBq(1.08mCi)
472703BIJ,3-iodobenzylguanidine,3-iodobenzylguanidine(131I) 3704MBq (100 mCi)
472705BIJ,3-iodobenzylguanidine,3-iodobenzylguanidine(131I) 1852MBq(50 mCi)
472706BIJ,3-iodobenzylguanidine,3-iodobenzylguanidine(131I) 7406MBq (200 mCi)
472708BIJ,3-iodobenzylguanidine,3-iodobenzylguanidine(131I) 5556MBq (150 mCi)
472710BIJ,3-iodobenzylguanidine,3-iodobenzylguanidine(131I) 111MBq(3 mCi)
448801BIJ,"3,3-diphosphono-1,2-propanedicarboxylate tetrasodium","3,3-diphosphono-1,2-propanedicarboxylate tetrasodium 13mg"""
161431BIJ,5-fluorouracil,5-fluorouracil 0.5g(50mg/mL)
161432BIJ,5-fluorouracil,5-fluorouracil 1g(50mg/mL)
412601ATB,5-hydroxytriptophan,5-hydroxytriptophan 0.1g
428201BIJ,6-beta-iodomethyl-19-norcholest-5(10)-en-3ug-ol(I-131) 0.037GBq(1mCi),6-beta-iodomethyl-19-norcholest-5(10)-en-3ug-ol(I-131) 0.037GBq(1mCi)
420101ATB,abacavir sulfate,abacavir sulfate (as abacavir 0.3g)
